,EAST,WEST,NORTH,COAST
7701,1756.342076,1245.284402,1059.984223,11402.338436
7702,1711.091299,1230.630409,1024.310822,10888.209363
7703,1643.401857,1219.53261,996.143217,10437.432739
7704,1613.467781,1179.528611,975.140145,10186.237896
7705,1607.840821,1168.650128,974.28378,10030.019449
7706,1606.870343,1168.861682,985.243607,9927.993059
7707,1642.511182,1190.017718,997.187819,9995.556983
7708,1702.316215,1212.699103,1024.799386,10280.666788
7709,1807.888419,1260.896721,1084.882377,10902.226695
7710,1969.645561,1355.906652,1177.625228,11743.368279
7711,2012.318866,1394.696642,1218.115496,11995.096685
7712,1935.751599,1361.330817,1223.032957,12127.942367
7713,1862.44421,1337.78,1225.976237,12186.014436
7714,1688.258021,1278.012515,1212.012481,12128.313631
7715,1642.563379,1242.18614,1181.942952,11967.375195
7716,1586.112016,1213.233487,1140.237256,11715.722907
7717,1545.591548,1215.942898,1133.013052,11611.817743
7718,1520.287922,1207.078816,1130.875355,11481.993897
7719,1515.295132,1202.356393,1141.490889,11418.386439
7720,1556.790052,1237.417712,1167.359645,11487.048267
7721,1656.233157,1279.902032,1218.740054,11798.651677
7722,1701.111531,1312.851936,1239.485326,11680.085249
7723,1697.346702,1312.629363,1235.307263,11524.119982
7724,1679.915357,1311.115904,1236.772749,11387.215633
7725,1644.994874,1290.067487,1223.233728,11181.424847
7726,1602.397034,1257.925548,1190.882304,10818.620878
7727,1522.576144,1217.123656,1154.530374,10427.255478
7728,1399.727477,1190.020433,1135.744542,10122.328686
7729,1423.524221,1183.687675,1125.078908,9919.951799
